"ANO4","IPCF","IPCF_AE","IPCF_act","IPCF_AE_act","GENERO"
2019,20000,26200.8733624454,23678.5457186431,31019.9288890521,2
2019,2800,3566.87898089172,3314.99640061003,4222.92535109558,2
2019,9250,11280.487804878,10951.3273948724,13355.27731082,2
2019,3128.57,3625.82781456954,3703.99938894876,4292.71648376063,1
2019,26000,34666.6666666667,30782.109434236,41042.8125789814,1
2019,10000,11235.9550561798,11839.2728593216,13302.5537745186,1
2019,20000,22988.5057471264,23678.5457186431,27216.7192168311,2
2019,24666.67,28906.25,29203.5436660841,34222.8981089764,2
2019,8000,11034.4827586207,9471.41828745724,13064.025224079,1
2019,12500,17857.1428571429,14799.0910741519,21141.5586773599,2
2019,24375,30279.5031055901,28858.2275945963,35848.7299311755,2
2019,10000,13888.8888888889,11839.2728593216,16443.4345268355,2
2019,2100,3172.20543806647,2486.24730045753,3755.66057470925,2
2019,10625,12426.9005847953,12579.2274130291,14712.5466819054,2
2019,19333.33,23200,22889.2569149307,27467.113033626,1
2019,18500,24666.6666666667,21902.6547897449,29203.5397196598,1
2019,31000,34140.9691629956,36701.7458638968,40420.4249602388,1
2019,750,970.873786407767,887.945464449116,1149.44396692442,1
2019,11700,15853.6585365854,13851.9492454062,18769.5789233147,2
2019,12300,15439.3305439331,14562.3056169655,18279.0447074881,2
2019,5333.33,6866.95278969957,6314.27491188054,8129.97277893325,2
2019,5000,5813.95348837209,5919.63642966078,6883.29817402416,2
2019,7850,10431.8936877076,9293.82919456742,12350.6035808205,1
2019,10350,13529.4117647059,12253.6474093978,16017.8397508468,2
2019,13333.33,16806.7226890756,15785.6931993378,19897.9375786917,1
2019,12833.33,13799.2831541219,15193.7295563717,16337.3478524688,2
2019,8550,11324.5033112583,10122.5782947199,13407.3884698277,2
2019,40000,59701.4925373134,47357.0914372862,70682.2260258003,2
2019,4166.67,5330.49040511727,4933.03430447493,6310.91303801788,2
2019,24250,32013.201320132,28710.2366838548,37901.3025529436,2
2019,666.67,843.881856540084,789.28880371239,999.09475606089,2
2019,10000,13888.8888888889,11839.2728593216,16443.4345268355,2
2019,6250,7288.62973760933,7399.54553707597,8629.20762341221,2
